"packageid","title","keywords","abstract"
"knb-lter-luq.117","Bromeliad plant collection details/data from different elevations in the LEF","inorganic nutrients,populations,measurements,organisms,plants","Collection details of bromeliads collected for invertebrate community and diversity analysis from 4 localities in the LEF. Dates, location, plant size, amounts, pH and temp. of contained water, and weights of debris retained by the bromeliads."
"knb-lter-luq.121","Fern distribution in El Verde CREST plots","primary production,nutrients,biological substances,substances,plant growth,production,biological processes,processes,ferns,plants,organisms","A fern survey was done of the plots established by under CREST funding to assess controls on primary productivity along an elevational gradient. The control plots (CP), fertilized plots (FP) and plots where only leaf litter (ll) was removed at El Verde were survey and all ferns present in the plots listed, mapped and measured in Fall of 1995, several years after the initial fertilization and leaf litter treatment had been applied. The objective was to determine the extent to which the fern flora had been affected by the treatments."
"knb-lter-luq.130","Heliconia invertebrate counts","organic matter,populations,species richness,abundance,herbs","Identification and number of invertebrates recovered from each Heliconia inflorescence sampled."
"knb-lter-luq.132","Heliconia fluid and organic matter analyses","organic matter,populations","Mineral concentrations of Heliconia bract fluid and organic matter accumulated in the bracts. Data collected during a study of the invertebrates in Heliconia bract fluid."
"knb-lter-luq.133","Heliconia collection data","organic matter,populations","Mineral concentrations of Heliconia bract fluid and organic matter accumulated in the bracts. Data collected during a study of the invertebrates in Heliconia bract fluid."
"knb-lter-luq.134","Invertebrate dry weight data in various locations, mostly within the LEF at El Verde","organic matter,populations","Contains information [identity, counts, size, fresh and dry weights] of various collections of invertebrates (and the occasional amphibian or reptile), which has allowed formulae describing the relationship between length and dry wt. of invertebrates to be obtained. These have been used in estimating biomass in studies of bromeliad, heliconia and litter inveretebrates in the LEF. They will have a wider application."
"knb-lter-luq.137","Litter invertebrate communities at different elevations in the LEF","populations","Identification and number of invertebrates recovered from each litter sample."
"knb-lter-luq.14","Rainfall at El Verde Field Station, Rio Grande, Puerto Rico since 1975","primary production,measurements,atmospheric properties,precipitation,rain","Rainfall has been measured at the El Verde Field Station since 1964. McDowell and Estrada-Pinto, 1988 presents a description of the collection procedures, raw data from 1964 to 1986, and some summary statistics for this period of record. Precipitation for this period showed some seasonality in monthly means, with a peak in May. Monthly averages for the period of 1975 to current chart can be found at this site. The highest values for the monthly averages for the period of 1975 to 2000 are from August to December with a low in October and November the highest. In this period the highest amount of total annual rainfall was in 1998 with 5293.61 mm and the minimum in 1994 with 1402.87 mm."
"knb-lter-luq.161","Bromeliad invertebrates at different elevations in Dominica","populations","Collection details of bromeliads collected for invertebrate community and diversity analysis from 3 localities in Dominica. Dates, location, plant size, amounts, pH and temp. of contained water, weights of debris retained by the bromeliads, and counts of organisms, identified to species or morphospecies, collected from each plant."
"knb-lter-luq.24","Anoline Lizard Food Habits","populations,organisms,animals,vertebrates,reptiles,lizards","&lt;p&gt;The stomach contents of 10 adult individuals of each of three anole species (Anolis gundlachi, A. evermanni, and A. stratulus) were collected to determine the number, type, and volume of prey consumed following Hurricane Hugo. Gut contents were identified to the lowest taxon possible and were measured.&lt;/p&gt;"
"knb-lter-luq.4","Anole Vertical Transects (tower data)","populations,organisms,animals,vertebrates,reptiles,lizards","&lt;p&gt;Transects are conducted to note the vertical distribution and relative abundance of anole species. Data permit the calculation of average sighting distance for each species which is used in the final calculation of abundance.&lt;/p&gt;"
"knb-lter-luq.52","Above ground biomass in the Espiritu Santo landslide nearby the El Verde Field Station (ES-1)","primary production,plants,organisms,biomass,ecosystem properties,measurements,biogeochemistry,disciplines","To establish the dry mass of several species that grow on landslides. To make regressions of biomass against height and basal diameter. This way one can estimate biomass on permanent plots where one cannot harvest the plants."
"knb-lter-luq.76","Frog abundance in fertilization plots","populations,populations,organizational units,amphibians,vertebrates,animals,organisms,productivity,ecosystem properties,measurements,ecology,demography,biogeochemistry,disciplines","Population estimates and body sizes of E. coqui were collected on fertilization, litter removal, and control plots."
"knb-lter-luq.86","Fungi of the Greater Antilles","populations,organisms,fungi,lichens","Over 20 researchers and cooperators were enlisted to produce a survey of the basidiomycetes of Puerto Rico, the Virgin Islands, Dominican Republic, and Jamaica. This included all basidiomycetes except rusts and smuts. These islands in the Greater Antilles were chosen for this survey for several reasons. There was previously very limited documentation on macrobasidiomycete diversity for these islands, although recent studies had shown that at least 15% of the species were undescribed. This project complemented previous and ongoing surveys in Mexico, Costa Rica, and Venezuela. The information gained from this project will ultimately help us to understand differences in colonization and rates of speciation among different groups of basidiomycetes in island chains. The investigators in this project discovered at least 75 new species and varieties so far, as well as several new genera (Pegler et al. 1998; Samuels &amp; Lodge 1996) and one possible new family or order (see 'Aliens' under GENUS). Various cooperators have graciously provided identification of ascomycetes, myxomycetes, and mitosporic fungi, which are also included in the database."
"knb-lter-luq.89","Long-term Intersite Decomposition Experiment (LIDET)","LUQ,Luquillo,inorganic nutrients,organic matter,Litterfall and coarse woody debris decompostion,litter decomposition","LIDET is the LTER Longterm Intersite Decomposition Experiment Team. It is a leaf, wood, and root decomposition study carried out at 28 LTER and other sites including LUQ. The duration of the study is designed to be approximately 10 yrs at temperate zone sites and approximately 3 yrs at tropical zone sites because of higher decomposition rates there. The same decomposing materials, litter bags, and study design are used at all sites to facilitate intersite comparisons.  Not all species were used at all sites. Six leaf litter species were used extensively at all sites that cover a range of leaf quality to permit a comparison of effects of litter quality and climate on decomposition. The others were present in the study as ""wild cards"", with at least one species contributed by each site. Three species of roots, and one species of wood were used."
"knb-lter-luq.9","El Verde Field Station (EVFS) Area Boundary KML shapefile and coordinates","primary production","The EVFS Area Boundary shapefile (.kml) and coordinates"
"knb-lter-mcm.2000","Glacier stake locations, McMurdo Dry Valleys, Antarctica (1993-2020, ongoing)","Antarctica,elevation,glacier,GPS,latitude,longitude,LTER,stake height","As part of the Long Term Ecological Research (LTER) project in the McMurdo Dry Valleys of Antarctica, a systematic sampling program has been undertaken to monitor mass balance and meltwater flow from the Taylor Valley glaciers. This data set contains global positioning system (GPS) measurements of stakes on glaciers. The measurements include both low-quality estimates (+/- 100m) from hand-held GPS units and high precision measurements (+/- 2 cm) using Trimble (4000 SSE) geodetic receivers. The purpose of these measurements was to obtain rough stake locations for use in relocating stakes in the future and precise stake locations for use in calculating stake displacement. The measurements are made relative to the WGS84 ellipsoid."
"knb-lter-mcm.2001","McMurdo Dry Valleys Major Ion Concentrations for Glacier Ice, Snow, and Melt Water Samples 1993-1997","anions,cations,chemistry,ice,snow,anions,cations,chemistry,glacier,ice,inorganic,snow,inorganic nutrients","The chemistry of various glaciers (Canada, Commonwealth, Howard, Suess, Taylor) in Taylor Valley was measured for the following analytes between 1993 and 1997: Alkalinity, Ca, Cl, F, K, Mg, Na, NO3, Si, and SO4."
"knb-lter-mcm.2002","McMurdo Dry Valleys Geochemistry data of cryoconite holes collected from Canada, Commonwealth, Howard, Hughes and Taylor glaciers in Nov 2001 and Jan 2002","anions,cations,ice,anions,cations,chemistry,cryoconite,glacier,ice,inorganic,snow,inorganic nutrients","Geochemistry data of cryoconite holes collected from Canada, Commonwealth, Howard, Hughes and Taylor glaciers in Nov 2001 and Jan 2002"
"knb-lter-mcm.2004","McMurdo Dry Valleys Isotope Ratios of Ice and Snow in Taylor Valley","isotopes,stable isotopes,deuterium,deuterium isotope ratio,glacier,isotope,isotope ratio,oxygen isotope ratio","As a part of the McMurdo Dry Valleys LTER program, isotope ratios have been determined from 295 ice/snow samples in Taylor Valley, Antarctica. Hydrogen/deuterium isotope ratios are given for all samples, and for a subset, there are oxygen isotope ratios, and a deuterium-excess. Values are reported relative to VSMOW, +/- 1.0 per mil for hydrogen, and +/- 0.1 for oxygen."
"knb-lter-mcm.2011","McMurdo Dry Valleys Geochemistry of cryoconite holes collected from Canada Glacier in Jan 2001","anions,cations,chemistry,ice,anions,cations,chemistry,cryoconite,glacier,ice,inorganic,snow,inorganic nutrients","The chemistry of cryoconite holes on Canada glacier was measured in January, 2001 at seven locations. Water analysis was conducted forÂ pH, electrical conductivity and a nematodes census."
"knb-lter-mcm.2015","Geochemical flux on McMurdo Dry Valleys Commonwealth glacier"," glacier, ions , precipitation, snow, Taylor Valley, McMurdo Dry Valleys, Antarctica, anions, cations, chemistry,McMurdo Dry Valleys,MCM","As part of a geochemical study of the Commonwealth Glacier in Taylor Valley,
                        Antarctica, two 3-meter snow pits were dug in the accumulation zone and analyzed for 
                        major ions by ion chromatography.  This dataset shows the mean annual atmospheric
                        flux of chloride, sulfate, nitrate, and calcium to the Commonwealth Glacier.  Determination 
                        of the atmospheric flux of these ions to the glacier surface aids in assessing the chemical
                        composition of precipitation to the McMurdo Dry Valleys and the role of glaciers in the
                        geochemical cycles of the region."
"knb-lter-mcm.2021","Chemical and sediment characteristics of ice cores collected from the ablation zones of Canada, Commonwealth, Howard, Hughes, and Seuss Glaciers in the McMurdo Dry Valleys, Antarctica from 2015 to 2019","ammonium,biogeochemistry,calcium,chemical properties,chemistry,chloride,deuterium,fluoride,ice,inorganic nitrogen,isotopes,magnesium,nitrate,nitrogen,phosphate,potassium,sediments,sodium,sulfate,water chemistry,ammonium,Antarctica,chemistry,deuterium,glacier,ice,inorganic nitrogen,isotope,LTER,McMurdo Dry Valleys,nitrate,nitrogen,sediment,Taylor Valley,inorganic nutrients","This data package contains chemical and sediment characteristics of ice cores collected from the ablation zones of five glaciers in Taylor Valley, located in the McMurdo Dry Valleys region of Antarctica, during the 2015-16, 2016-17, 2017-18, and 2018-19 austral summers. Specifically, shallow ice cores were collected from the ablation zones of Hughes, Howard, Seuss, Commonwealth, and Canada Glaciers in order to characterize the spatial and temporal evolution of ice chemistry and sediment concentration across Taylor Valley. Cores were collected in triplicate from each sampling location and measured 79 mm in diameter and up to 1 m in depth. Cores were sectioned in 5 cm (0-25 cm depth) and 25 cm increments (25 cm to the maximum depth of the core) prior to analyzing chemical and sediment characteristics."
"knb-lter-mcm.2024","Chemical characteristics of snow in the ablation zone of Canada Glacier in the McMurdo Dry Valleys, Antarctica during the 2016-2017 austral summer","biogeochemistry,calcium,chemical properties,chemistry,chloride,inorganic nitrogen,magnesium,nitrate,nitrogen,potassium,snow,sodium,sulfate,water chemistry,Antarctica,chemistry,glacier,inorganic nitrogen,LTER,McMurdo Dry Valleys,nitrate,nitrogen,snow,Taylor Valley,inorganic nutrients","This data package contains chemical characteristics of snow in the ablation zone of Canada Glacier, located in Taylor Valley, McMurdo Dry Valleys, Antarctica during the 2016-17 austral summer. Specifically, snow samples were collected from the ablation zones of Canada and Commonwealth Glaciers to characterize the chemistry of recent snowfall in the ablation zones of these glaciers. Samples were collected in triplicate near mass balance stakes on the same date ice cores were collected as part of a larger study characterizing the spatial and temporal geochemical evolution of glacial meltwater. A subset of snow samples collected from Canada Glacier have been analyzed and are included here. This package may be amended in the future if analysis of the remaining samples from both Canada and Commonwealth Glaciers occurs."
"knb-lter-mcm.2025","Snowpit chemistry from Canada, Commonwealth, and Rhone Glaciers, McMurdo Dry Valleys, Antarctica during the 2000-2001 austral summer","anions,calcium,cations,chemistry,chloride,ions,magnesium,nitrate,potassium,snow,sodium,sulfate,water chemistry,anions,Antarctica,cations,chemistry,glacier,ions,LTER,major anions,major cations,McMurdo Dry Valleys,nitrate,snow,snow density,Taylor Valley,inorganic nutrients","To examine temporal and spatial variability in snow chemistry during the 2000-2001 austral summer, snow samples were collected from the accumulation zones of Canada, Commonwealth, and Rhone Glaciers, located in Taylor Valley in the McMurdo Dry Valleys region of Antarctica. Snowpits were excavated to a depth of 2 meters at each location and samples were collected using a depth interval of 3 cm utilizing clean sampling techniques. Snow density was measured in the field at the time of sample collection. Samples were analyzed for major ions in the Crary Lab at McMurdo Station. "
"knb-lter-mcm.224","Soil Moisture Responses to Short-Term Soil Manipulation Experiment"," McMurdo, Antarctica, LTER, soil moisture, soil,McMurdo Dry Valleys,MCM","   A short-term soil manipulation experiment has been conducted as part
of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project.  The moisture
content of soil samples collected for organism extraction and identification was
determined. Samples were taken on November 13, 1995, November 17, 1995, November 24, 1995 and December 11, 1995."
"knb-lter-mcm.225","Soil Biota Responses to Short-Term Soil Manipulation Experiment","  nematodes, rotifers, tardigrades, McMurdo, Antarctica, LTER ,McMurdo Dry Valleys,MCM","A short-term soil manipulation experiment has been conducted as part
of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project.  The response of
soil organisms (nematodes, rotifers and tardigrades) to the treatments is monitored by
sampling soil following various treatment applications. Samples were taken on November 13, 1995, November 17, 1995, November 24, 1995 and December 11, 1995.
"
"knb-lter-mcm.226","Soil Depth Effects on Soil Moisture "," McMurdo, Antarctica, LTER, soil moisture, soil depth, water content ,McMurdo Dry Valleys,MCM"," Investigation of the effect of soil depth on soil biota and properties was part of the McMurdo Dry Valleys Long Term Ecological Research
(LTER) project. The moisture content of soil samples collected for organism
extraction and identification was determined for various depths. The study began
in the austral summer of 1993/1994. Samples were taken on 20-Dec-1993, 6-Jan-1994, 
21-Nov-1994 and 26-Dec-1994."
"knb-lter-mcm.227","McMurdo Dry Valleys Soil Depth Effects on Soil Biota","Antarctica,depth,LTER,nematodes,rotifers,soil,populations","Investigation of the effect of soil depth on soil biota and properties was part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The number of soil organisms (nematodes, rotifers and tardigrades), divided by species, sex and maturity was monitored at various soil depths in Taylor Valley in order to accomplish this. The study began in the austral summer of 1993/1994. Samples were taken on 20-Dec-1993, 6-Jan-1994, 21-Nov-1994 and 26-Dec-1994."
"knb-lter-mcm.228","McMurdo Dry Valleys Soil Depth Effects on Anhydrobiosis of Nematodes","biomass,nematodes,soil,Anhydrobiosis,Antarctica,depth,LTER,nematodes,soil,populations","Investigation of the effect of soil depth on soil biota and properties was part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The proportion of soil nematodes found in an anhydrobiotic survival state was monitored at various soil depths in Taylor Valley to help accomplish this. Samples were taken on 21-Nov-1994 and 26-Dec-1994."
"knb-lter-mcm.229","McMurdo Dry Valleys Soil Depth Effects on Chlorophyll-a Concentrations","Antarctica,LTER,soil,populations","Investigation of the effect of soil depth on soil biota and properties was part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. Chlorophyll-a concentrations from soil samples collected for organism extraction and identification was monitored at various soil depths in Taylor Valley in order to accomplish this. Samples were taken on 21-Nov-1994 and 26-Dec-1994."
"knb-lter-mcm.230","High Nutrient Influences on Soil Moisture"," McMurdo, Antarctica, LTER, soil moisture, soil depth, water content
,McMurdo Dry Valleys,MCM","  Investigation of the effect of penguins (high C and N inputs) on soil
biota and soil properties was part of the McMurdo Dry Valleys Long
Term Ecological Research (LTER) project.  The moisture content of soil
samples collected for organism extraction and identification was
determined. Samples were gathered on December 5, 1997 from Cape Crozier.
"
"knb-lter-mcm.235","McMurdo Dry Valleys Soil Moistures for Soil Biota Distribution Experiment","soil,soil moisture,Antarctica,LTER,soil,soil moisture,populations","Investigation of the variation in soil biota and soil properties across the McMurdo Dry Valleys was part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. Â The moisture content of soil samples collected for organism extraction and identification was determined. Â  Â The study began in the austral summer of 1993/1994. Samples were taken on: Â Â  Â  * December 31, 1993 Â  * January 3, 8, 10 and 13, 1994, Â  * December 12 and 22, 1994, Â  * January 6 and 9, 1995, Â  * November 1, 8, 16 and 27, 1995, Â  * December 5 and 7, 1995, and Â  * January 12, 1998.Â  Â "
"knb-lter-mcm.236","McMurdo Dry Valleys Biota Found in Soil Biota Distribution Experiment","Antarctica,LTER,nematodes,rotifers,soil,populations","Â  Investigation of the variation in soil biota and soil properties across the McMurdo Dry Valleys was part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. Â The number of soil organisms (nematodes, rotifers and tardigrades), divided by species, sex and maturity was monitored at sampling sites throughout the region in order to accomplish this. Â  Â Â  The study began in the austral summer of 1993/1994. Samples were taken on: Â  Â Â  Â  Â  * December 31, 1993 Â  Â  * January 3, 8, 10 and 13, 1994, Â  Â  * December 12 and 22, 1994, Â  Â  * January 6 and 9, 1995, Â  Â  * November 27, 1995, Â  Â  * December 5, 7 and 10, 1995, and Â  Â  * January 12, 1998.Â  Â "
"knb-lter-mcm.239","McMurdo Dry Valleys Diurnal Effects on Soil Moisture","soil moisture,soil water content,Antarctica,LTER,soil,soil moisture,populations","Investigation of the effect of short-term variation in soil moisture and soil temperature on nematode anhydrobiosis as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The percent of anhydrobiotic nematodes with relation to soil moisture and temperature was determined. The study began at 0930 on 22 December 1997 and ended on 23 December 1997. The samples were taken at 0, 6, 12, 18, and 24 hrs."
"knb-lter-mcm.240","McMurdo Dry Valleys Diurnal Effects on Soil Biota","nematodes,rotifers,soil,Antarctica,Eudorylaimus,LTER,nematodes,Plectus,rotifers,Scottnema,soil,soil biota,tardigrade,populations","Investigation of the effect of short-term variation in soil moisture and soil temperature Â on nematode anhydrobiosis as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The percent of anhydrobiotic nematodes with relation to soil moisture and temperature was determined. Â  Â The study began at 0930 on 22 December 1997 and ended on 23 December 1997. The samples were taken at 0, 6, 12, 18, and 24 hrs.Â "
"knb-lter-mcm.241","McMurdo Dry Valleys Seasonal Effects on Anhydrobiosis of Nematodes","nematodes,Anhydrobiosis,Antarctica,LTER,nematodes,populations","Investigation of the effect of long-term variation in soil moisture and soil temperature on nematode anhydrobiosis as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The percent of anhydrobiotic (coiled) nematodes with relation to season was determined. The study took place on three separate dates during the 1997-1998 austral summer: 21 November 1997, 16 December 1997, and 13 January 1998."
"knb-lter-mcm.242","McMurdo Dry Valleys Seasonal Effects on Electrical Conductivity","electrical conductivity,nematodes,rotifers,soil,Antarctica,electrical conductivity,LTER,nematodes,soil,populations","Investigation of the effect of long-term variation in soil moisture and soil temperature on nematode anhydrobiosis as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The percent of anhydrobiotic (coiled) nematodes with relation to season was determined. The study took place on three separate dates during the 1997-1998 austral summer: 21 November 1997, 16 December 1997, and 13 January 1998."
"knb-lter-mcm.243","McMurdo Dry Valleys Seasonal Effects on Soil Moisture","Antarctica,LTER,soil,populations","Investigation of the effect of long-term variation in soil moisture and soil temperature on nematode anhydrobiosis as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The percent of anhydrobiotic (coiled) nematodes with relation to season was determined. The study took place on three separate dates during the 1997-1998 austral summer: 21 November 1997, 16 December 1997, and 13 January 1998."
"knb-lter-mcm.254","McMurdo Dry Valleys Habitat Suitability - Soil Moisture","soil moisture,soil water content,Antarctica,LTER,soil,soil moisture,populations","Investigation of the variation in soil biota and soil properties across the McMurdo Dry Valleys as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The moisture content of soil samples which are collected for organism extraction and identification is determined. This study was carried out in the austral summer 1993/1994"
"knb-lter-mcm.255","McMurdo Dry Valleys Habitat Suitability - Soil Biota","Antarctica,LTER,populations","Investigation of the variation in soil biota and soil properties across the McMurdo Dry Valleys as part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The identification and abundance of soil biota are reported."
"knb-lter-mcm.261","McMurdo Dry Valleys Soil Apatite Grain Weathering Metrics from Taylor Valley, Antarctica","soil nutrients,soil phosphorus,McMurdo Dry Valleys,Taylor Valley,inorganic nutrients","Mineral apatite is the ultimate source of the essential nutrient phosphorus to the soil ecosystem. In order to assess the biogeochemical weathering of apatite grains in the dry, basic soils of the McMurdo Dry Valleys, we collected nine surface soil samples from the Fryxell and Bonney Basins of Taylor Valley. After separating more than 50 individual soil apatite grains from each sample, we used scanning electron microscopy to quantify the morphology and surface etching of apatite grains to determine the degree of weathering. We developed three metrics to quantify the degree of weathering: aspect ratio, percent crystal faces, and a qualitative pitting index. This dataset contains the raw data from analyzing the morphology of more than 600 grains using the software ImageJ. Samples were collected during January 2013. The samples from the Bonney Basin (LB) were collected 21 Jan 2013, and the samples from the Fryxell Basin (LF) were collected 18 January 2013. Samples were processed and analyzed 2014-2016."
"knb-lter-mcm.4003","Soil biota and chemistry data from the Elevational Transect (ET) experiment, McMurdo Dry Valleys, Antarctica (1993-2020, ongoing)","ammonia,chlorophyll a,conductivity,elevation,microbial biomass,microbial nitrogen,nematodes,ph,rotifers,soil carbon,soil chemistry,soil moisture,soil ph,soil water content,topography,total nitrogen,total organic carbon,transects,ammonia,Antarctica,chlopophyl-A,conductivity,elevation,Eudorylaimus,LTER,McMurdo Dry Valleys,microbial biomass,nematodes,nitrate,pH,Plectus,rotifers,Scottnema,soil,soil carbon,soil moisture,soil nitrogen,soil organic C,tardigrade,topography,total nitrogen,transect,water content,population dynamics","Investigation of the effect of elevation and topography on soil biota and soil properties was part of the McMurdo Dry Valleys Long Term Ecological Research (LTER) project. The number of soil organisms (nematodes, rotifers and tardigrades), divided by species, sex and maturity was monitored at 3 elevations, initially in Taylor Valley (1993) then Garwood and Miers Valleys (2012) in order to accomplish this."
"knb-lter-mcm.4010","McMurdo Dry Valleys Airborn Sediment Traps / Aeolian Distribution of Soil Biota","dispersal,dispersion,nematodes,translocation,wind,aeolian,Antarctica,distribution,Eudorylaimus,LTER,nematodes,Plectus,rotifers,Scottnema,wind,populations","Dispersal of soil organisms is crucial for their spatial distribution and adaptation to the prevailing conditions of the Antarctic Dry Valleys. This study investigate the possibility of wind dispersal of soil invertebrates within the dry valleys. Soil invertebrates were evaluated in wind-transported dust particles in collection pans (Bundt pans) 100 cm above the soil surface. Three species of nematode were recovered and Scottnema lindsayae was the most dominant. There were more juveniles (71%) in the transported sediments than adults (29%). The abundance of immobile (dead) nematodes in the Bundt pans was three times higher than active (live) nematodes. Anhydrobiosis constitutes a survival mechanism that allows wind dispersal of nematodes in the McMurdo Dry Valleys."
"knb-lter-mcm.6006","McMurdo Dry Valleys GIS Raster Layers","geographic information systems,latitude,location,longitude","Basic raster layers from the MCM-LTER spatial data holdings have been exported and symbolized. The dataset files offered here include: 30m DEM made from USGS Topo map SPOT Satellite Image 39-558 LANDSAT 7 Satellite Image Note - the SPOT and LANDSAT layers areÂ notÂ MCM-LTER data products. Â These resources were updated last in 2007, for more up-to-date layers, and potentially, higher resolution layers, please visit the Polar Geospatial Center and other affine geospatial data clearinghouses.Â "
"knb-lter-mcm.7014","McMurdo Dry Valleys Upper Howard Meteorological Station Measurements","air temperature,meteorology,relative humidity,solar radiation,wind,wind direction,wind speed,air temperature,glacier,humidity,meteorology,radiation,relative humidity,RH,shortwave radiation,snow,solar flux,solar radiation,temperature,wind,wind direction,wind speed","As part of the Long Term Ecological Research in the McMurdo Dry Valleys of Antarctica, meteorological data was collected from various locations throughout Beacon, Taylor, Wright and Victoria Valleys. These files contain data for the Upper Howard Glacier meteorology station. The Upper Howard Glacier meteorological station was added to the McMurdo Dry Valley network in the 2001-2002 field season in Taylor Valley and removed November 8, 2004."
"knb-lter-mcm.7021","McMurdo Dry Valleys Garwood Valley Meteorological Station Measurements, 2010-2011","air temperature,climate,climatology,meteorology,photosynthetically active radiation,relative humidity,soil temperature,solar radiation,wind,wind direction,wind speed,air temperature,humidity,meteorology,radiation,relative humidity,RH,shortwave radiation,soil temperature,solar flux,solar radiation,temperature,wind,wind direction,wind speed","As part of the Long Term Ecological Research in the McMurdo Dry Valleys of Antarctica, meteorological data was collected from various locations throughout Beacon, Taylor, Wright and Victoria Valleys. These files contain data for the Garwood Valley meteorology station. This station reported data for about a year, during 2011. On January 11, 2012 the station was disconnected and relocated to the Miers Valley. Met data for Garwood can be obtained visiting the Garwood Ice Cliff Met Station."
"knb-lter-mcm.7030","Meteorological station locations, McMurdo Dry Valleys, Antarctica (1993-2022, ongoing)","air temperature,Antarctica,atmospheric pressure,barometric pressure,humidity,ice temperature,ice thickness,latitude,longitude,LTER,McMurdo Dry Valleys,meteorology,PAR,photosynthetic active radiation,photosynthetically active radiation,radiation,relative humidity,RH,shortwave radiation,snow,snow density,snow depth,snow height,snowfence,soil temperature,solar flux,solar radiation,Taylor Valley,temperature,wind,wind direction,wind speed,air temperature,atmospheric pressure,climatology,dataloggers,latitude,long term monitoring,longitude,meteorology,net radiation,photosynthetically active radiation,relative humidity,snow depth,snowfences,soil temperature,solar radiation,wind,wind direction,wind speed","As part of the McMurdo Dry Valleys Long Term Ecological Research program (MCM LTER), meteorological data is collected from various locations throughout the McMurdo Dry Valleys of Antarctica. This dataset compiles the locations and history of the meteorological stations maintained by MCM LTER."
"knb-lter-mcm.7102","McMurdo Dry Valleys Beacon Valley Meteorological Station Daily Averages","air temperature,humidity,meteorology,relative humidity,soil temperature,temperature,wind speed,air temperature,average,humidity,relative humidity,RH,soil temperature,temperature,wind,wind speed","As part of the Long Term Ecological Research in the McMurdo Dry Valleys of Antarctica, meteorological data was collected from various locations throughout Beacon, Taylor, Wright and Victoria Valleys. These files contain data for the Beacon Valley meteorology station daily averages, as derived from the 15-min data. Beacon ceased operations in the 2012 season."
"knb-lter-mcm.7114","McMurdo Dry Valleys Upper Howard Meteorological Station Daily Averages","air temperature,meteorology,relative abundance,solar radiation,wind,wind direction,wind speed,air temperature,meteorology,relative humidity,RH,shortwave radiation,solar flux,solar radiation,wind,wind direction,wind speed","As part of the Long Term Ecological Research in the McMurdo Dry Valleys of Antarctica, meteorological data was collected from various locations throughout Beacon, Taylor, Wright and Victoria Valleys. These files contain data for the Upper Howard Glacier meteorology station daily averages, as derived from the 15-min high-frequency data. The Upper Howard Glacier meteorological station was added to the McMurdo Dry Valley network in the 2001-2002 field season in Taylor Valley and removed November 8, 2004."
"knb-lter-mcm.7202","McMurdo Dry Valleys Beacon Valley Meteorological Station Monthly Averages","meteorology,air temperature,McMurdo Dry Valleys,RH,soil temperature,solar radiation,wind direction,wind speed","As part of the Long Term Ecological Research in the McMurdo Dry Valleys of Antarctica, meteorological data was collected from various locations throughout Beacon, Taylor, Wright and Victoria Valleys. These files contain data for the Beacon Valley meteorology station montly averages, as derived from the 15-min data. Beacon ceased operations in the 2012 season."
"knb-lter-mcm.7214","McMurdo Dry Valleys Upper Howard Meteorological Station Monthly Averages","air temperature,climate,climatology,meteorology,relative humidity,solar radiation,wind,wind speed,air temperature,relative humidity,RH,shortwave radiation,solar flux,solar radiation,wind,wind direction,wind speed","As part of the Long Term Ecological Research in the McMurdo Dry Valleys of Antarctica, meteorological data was collected from various locations throughout Beacon, Taylor, Wright and Victoria Valleys. These files contain data for the Upper Howard Glacier meteorology station monthly averages, as derived from the 15-min high-frequency data. The Upper Howard Glacier meteorological station was added to the McMurdo Dry Valley network in the 2001-2002 field season in Taylor Valley and removed November 8, 2004."
"knb-lter-mcm.8016","McMurdo Dry Valleys Simulations connecting metacommunity characteristics and biodiversity patterns","dispersal,dispersion,diversity,simulation,distribution,populations","The data and model described here with the purpose of understanding controls over biodiversity. A multi-scale approach to understand how local and regional factors affect the community assembly processes that drive emergent patterns. These data allows us toÂ examin a wide range of parameter settings representing ecologically relevant scenarios.Â We used artificial neural networks (ANNs) to assess the sensitivity of diversity and variation partitioning metrics (calculated from simulation outcomes) to metacommunity parameter settings. Here you will find metadata details, Â dor detailed information about the simulations results and conclusions, please visit the associated publication atÂ http://onlinelibrary.wiley.com/doi/10.1111/oik.03690/abstract;jsessionid..."
"knb-lter-nwk.2","Climate Data Summaries for Long-Term Ecological Research Sites","weather,climate,air temperature,precipitation","This dataset contains historical climate data and climate summaries from Long-Term
    Ecological Research sites and other climate stations in their vicinity. It has as its basis
    ""A Climatic Analysis Of Long-Term Ecological Research Sites"" created by David
    Greenland, Timothy KIttel, Bruce Hayden and David Schimel in 1996
    (http://climhy.lternet.edu/documents/climdes/). The dataset includes monthly data and summaries
    aggregating years and months to produce climatic summaries."
